Salary,Taxable Income,Calculated Tax (Before Rebate),Cess 4%,Total Tax Payable
1771091,1696091,208827.3,8353.09,217180.39
968234,893234,44323.4,772.94,20096.34
678480,603480,15348.0,0.0,0.0
2429863,2354863,406458.9,16258.36,422717.26
1091971,1016971,62545.65,1501.83,39047.48
801157,726157,27615.7,104.63,2720.33
484423,409423,5471.15,0.0,0.0
2913501,2838501,551550.3,22062.01,573612.31
2052290,1977290,293187.0,11727.48,304914.48
1212495,1137495,80624.25,2224.97,57849.22
2085954,2010954,303286.2,12131.45,315417.65
433272,358272,2913.6,0.0,0.0
1067836,992836,58925.4,1357.02,35282.42
1426081,1351081,120216.2,4808.65,125024.85
2400021,2325021,397506.3,15900.25,413406.55
1081474,1006474,60971.1,1438.84,37409.94
2851503,2776503,532950.9,21318.04,554268.94
1660828,1585828,175748.4,7029.94,182778.34
918467,843467,39346.7,573.87,14920.57
1438848,1363848,122769.6,4910.78,127680.38
2435619,2360619,408185.7,16327.43,424513.13
1177844,1102844,75426.6,2017.06,52443.66
780047,705047,25504.7,20.19,524.89
2007923,1932923,279876.9,11195.08,291071.98
1407447,1332447,116489.4,4659.58,121148.98
1239903,1164903,84735.45,2389.42,62124.87
428391,353391,2669.55,0.0,0.0
2836582,2761582,528474.6,21138.98,549613.58
1317026,1242026,98405.2,3936.21,102341.41
1959280,1884280,265284.0,10611.36,275895.36
2205279,2130279,339083.7,13563.35,352647.05
2653839,2578839,473651.7,18946.07,492597.77
407450,332450,1622.5,0.0,0.0
2569042,2494042,448212.6,17928.5,466141.1
2835893,2760893,528267.9,21130.72,549398.62
2679126,2604126,481237.8,19249.51,500487.31
2283509,2208509,362552.7,14502.11,377054.81
416381,341381,2069.05,0.0,0.0
1821701,1746701,224010.3,8960.41,232970.71
1920197,1845197,253559.1,10142.36,263701.46
2531660,2456660,436998.0,17479.92,454477.92
2078226,2003226,300967.8,12038.71,313006.51
2211221,2136221,340866.3,13634.65,354500.95
1499386,1424386,134877.2,5395.09,140272.29
2314484,2239484,371845.2,14873.81,386719.01
2757184,2682184,504655.2,20186.21,524841.41
1718175,1643175,192952.5,7718.1,200670.6
1029903,954903,53235.45,1129.42,29364.87
2442866,2367866,410359.8,16414.39,426774.19
1815536,1740536,222160.8,8886.43,231047.23
2060427,1985427,295628.1,11825.12,307453.22
424123,349123,2456.15,0.0,0.0
1236093,1161093,84163.95,2366.56,61530.51
1431565,1356565,121313.0,4852.52,126165.52
478274,403274,5163.7,0.0,0.0
2809079,2734079,520223.7,20808.95,541032.65
2231760,2156760,347028.0,13881.12,360909.12
431373,356373,2818.65,0.0,0.0
415294,340294,2014.7,0.0,0.0
2320320,2245320,373596.0,14943.84,388539.84
948307,873307,42330.7,693.23,18023.93
2462878,2387878,416363.4,16654.54,433017.94
441564,366564,3328.2,0.0,0.0
1726388,1651388,195416.4,7816.66,203233.06
2367359,2292359,387707.7,15508.31,403216.01
2665398,2590398,477119.4,19084.78,496204.18
2515167,2440167,432050.1,17282.0,449332.1
2651231,2576231,472869.3,18914.77,491784.07
2948081,2873081,561924.3,22476.97,584401.27
989944,914944,47241.6,889.66,23131.26
988105,913105,46965.75,878.63,22844.38
2910910,2835910,550773.0,22030.92,572803.92
2289173,2214173,364251.9,14570.08,378821.98
1714466,1639466,191839.8,7673.59,199513.39
745101,670101,22010.1,0.0,0.0
2433783,2358783,407634.9,16305.4,423940.3
1352590,1277590,105518.0,4220.72,109738.72
1366646,1291646,108329.2,4333.17,112662.37
2170785,2095785,328735.5,13149.42,341884.92
1405534,1330534,116106.8,4644.27,120751.07
1883593,1808593,242577.9,9703.12,252281.02
2103649,2028649,308594.7,12343.79,320938.49
1524665,1449665,139933.0,5597.32,145530.32
2594544,2519544,455863.2,18234.53,474097.73
458823,383823,4191.15,0.0,0.0
1741578,1666578,199973.4,7998.94,207972.34
798863,723863,27386.3,95.45,2481.75
667654,592654,14632.7,0.0,0.0
2976188,2901188,570356.4,22814.26,593170.66
2927241,2852241,555672.3,22226.89,577899.19
2632514,2557514,467254.2,18690.17,485944.37
1792785,1717785,215335.5,8613.42,223948.92
1097079,1022079,63311.85,1532.47,39844.32
964076,889076,43907.6,756.3,19663.9
2617115,2542115,462634.5,18505.38,481139.88
2877913,2802913,540873.9,21634.96,562508.86
1597286,1522286,156685.8,6267.43,162953.23
2618136,2543136,462940.8,18517.63,481458.43
2205324,2130324,339097.2,13563.89,352661.09
2661664,2586664,475999.2,19039.97,495039.17
2999015,2924015,577204.5,23088.18,600292.68
1586125,1511125,153337.5,6133.5,159471.0
1832875,1757875,227362.5,9094.5,236457.0
748982,673982,22398.2,0.0,0.0
1472622,1397622,129524.4,5180.98,134705.38
2803771,2728771,518631.3,20745.25,539376.55
1296161,1221161,94232.2,3769.29,98001.49
966326,891326,44132.6,765.3,19897.9
949150,874150,42415.0,696.6,18111.6
418834,343834,2191.7,0.0,0.0
1999005,1924005,277201.5,11088.06,288289.56
2054236,1979236,293770.8,11750.83,305521.63
584821,509821,10491.05,0.0,0.0
355609,280609,0.0,0.0,0.0
527897,452897,7644.85,0.0,0.0
1274165,1199165,89874.75,2594.99,67469.74
1379600,1304600,110920.0,4436.8,115356.8
1325715,1250715,100143.0,4005.72,104148.72
1738533,1663533,199059.9,7962.4,207022.3
2581230,2506230,451869.0,18074.76,469943.76
761243,686243,23624.3,0.0,0.0
2358852,2283852,385155.6,15406.22,400561.82
2285588,2210588,363176.4,14527.06,377703.46
551451,476451,8822.55,0.0,0.0
303051,228051,0.0,0.0,0.0
2052683,1977683,293304.9,11732.2,305037.1
1304646,1229646,95929.2,3837.17,99766.37
1960099,1885099,265529.7,10621.19,276150.89
1271525,1196525,89478.75,2579.15,67057.9
489407,414407,5720.35,0.0,0.0
749395,674395,22439.5,0.0,0.0
1249597,1174597,86189.55,2447.58,63637.13
2860046,2785046,535513.8,21420.55,556934.35
1560386,1485386,147077.2,5883.09,152960.29
2470675,2395675,418702.5,16748.1,435450.6
1443052,1368052,123610.4,4944.42,128554.82
522866,447866,7393.3,0.0,0.0
1435248,1360248,122049.6,4881.98,126931.58
1946711,1871711,261513.3,10460.53,271973.83
1693470,1618470,185541.0,7421.64,192962.64
2425403,2350403,405120.9,16204.84,421325.74
1723286,1648286,194485.8,7779.43,202265.23
483062,408062,5403.1,0.0,0.0
2791518,2716518,514955.4,20598.22,535553.62
400235,325235,1261.75,0.0,0.0
2775648,2700648,510194.4,20407.78,530602.18
2201625,2126625,337987.5,13519.5,351507.0
1050201,975201,56280.15,1251.21,32531.36
1103328,1028328,64249.2,1569.97,40819.17
1343233,1268233,103646.6,4145.86,107792.46
2574399,2499399,449819.7,17992.79,467812.49
2011741,1936741,281022.3,11240.89,292263.19
829525,754525,30452.5,218.1,5670.6
1368632,1293632,108726.4,4349.06,113075.46
476615,401615,5080.75,0.0,0.0
487628,412628,5631.4,0.0,0.0
2770784,2695784,508735.2,20349.41,529084.61
706716,631716,18171.6,0.0,0.0
2843590,2768590,530577.0,21223.08,551800.08
841252,766252,31625.2,265.01,6890.21
1986293,1911293,273387.9,10935.52,284323.42
2649916,2574916,472474.8,18898.99,491373.79
2909305,2834305,550291.5,22011.66,572303.16
2464367,2389367,416810.1,16672.4,433482.5
2204050,2129050,338715.0,13548.6,352263.6
444356,369356,3467.8,0.0,0.0
503861,428861,6443.05,0.0,0.0
655612,580612,14030.6,0.0,0.0
309435,234435,0.0,0.0,0.0
747556,672556,22255.6,0.0,0.0
2048014,1973014,291904.2,11676.17,303580.37
378781,303781,189.05,0.0,0.0
2588627,2513627,454088.1,18163.52,472251.62
2557348,2482348,444704.4,17788.18,462492.58
2623659,2548659,464597.7,18583.91,483181.61
2703215,2628215,488464.5,19538.58,508003.08
1064121,989121,58368.15,1334.73,34702.88
2039183,1964183,289254.9,11570.2,300825.1
1469748,1394748,128949.6,5157.98,134107.58
2882115,2807115,542134.5,21685.38,563819.88
1804544,1729544,218863.2,8754.53,227617.73
1407677,1332677,116535.4,4661.42,121196.82
1844548,1769548,230864.4,9234.58,240098.98
588790,513790,10689.5,0.0,0.0
1190617,1115617,77342.55,2093.7,54436.25
2944489,2869489,560846.7,22433.87,583280.57
1708836,1633836,190150.8,7606.03,197756.83
1941249,1866249,259874.7,10394.99,270269.69
950419,875419,42541.9,701.68,18243.58
2830526,2755526,526657.8,21066.31,547724.11
1187225,1112225,76833.75,2073.35,53907.1
571967,496967,9848.35,0.0,0.0
491232,416232,5811.6,0.0,0.0
1652695,1577695,173308.5,6932.34,180240.84
2406692,2331692,399507.6,15980.3,415487.9
1889228,1814228,244268.4,9770.74,254039.14
2949103,2874103,562230.9,22489.24,584720.14
1400567,1325567,115113.4,4604.54,119717.94
2585903,2510903,453270.9,18130.84,471401.74
918992,843992,39399.2,575.97,14975.17
349115,274115,0.0,0.0,0.0
1021747,946747,52012.05,1080.48,28092.53
1497719,1422719,134543.8,5381.75,139925.55
2063211,1988211,296463.3,11858.53,308321.83
2338449,2263449,379034.7,15161.39,394196.09
836226,761226,31122.6,244.9,6367.5
2750976,2675976,502792.8,20111.71,522904.51
1352576,1277576,105515.2,4220.61,109735.81
1704330,1629330,188799.0,7551.96,196350.96
551492,476492,8824.6,0.0,0.0
1848098,1773098,231929.4,9277.18,241206.58
791072,716072,26607.2,64.29,1671.49
1386880,1311880,112376.0,4495.04,116871.04
804999,729999,27999.9,120.0,3119.9
631593,556593,12829.65,0.0,0.0
2355723,2280723,384216.9,15368.68,399585.58
2548988,2473988,442196.4,17687.86,459884.26
408940,333940,1697.0,0.0,0.0
1124926,1049926,67488.9,1699.56,44188.46
1614093,1539093,161727.9,6469.12,168197.02
685777,610777,16077.7,0.0,0.0
1973250,1898250,269475.0,10779.0,280254.0
2948790,2873790,562137.0,22485.48,584622.48
2229305,2154305,346291.5,13851.66,360143.16
2946791,2871791,561537.3,22461.49,583998.79
938873,863873,41387.3,655.49,17042.79
365953,290953,0.0,0.0,0.0
2897480,2822480,546744.0,21869.76,568613.76
303267,228267,0.0,0.0,0.0
2479897,2404897,421469.1,16858.76,438327.86
2224596,2149596,344878.8,13795.15,358673.95
